id,date,store_nbr,family,sales,onpromotion
2890663,2017-06-15,16,POULTRY,48.267002,0
590393,2013-11-28,24,MAGAZINES,0.0,0
663785,2014-01-09,33,MAGAZINES,0.0,0
2772047,2017-04-09,38,HARDWARE,0.0,0
817057,2014-04-05,34,EGGS,51.0,0
654465,2014-01-04,22,DELI,0.0,0
2537321,2016-11-27,51,HOME APPLIANCES,0.0,0
2489919,2016-11-01,22,BEVERAGES,1414.0,46
1143159,2014-10-05,34,CELEBRATION,16.0,0
471299,2013-09-22,32,PET SUPPLIES,0.0,0
615839,2013-12-12,38,PET SUPPLIES,0.0,0
343517,2013-07-12,47,LAWN AND GARDEN,9.0,0
2885777,2017-06-12,29,PET SUPPLIES,3.0,0
2522067,2016-11-19,24,DELI,360.934,12
197769,2013-04-21,9,AUTOMOTIVE,21.0,0
591197,2013-11-28,47,BEAUTY,8.0,0
346795,2013-07-14,39,SCHOOL AND OFFICE SUPPLIES,0.0,0
195735,2013-04-20,50,GROCERY I,6376.0,0
2164737,2016-05-02,48,BEVERAGES,4455.0,18
2559727,2016-12-10,30,HOME AND KITCHEN II,7.0,1
2359631,2016-08-20,16,SEAFOOD,2.0,2
848876,2014-04-23,27,HOME APPLIANCES,0.0,0
384479,2013-08-04,46,PREPARED FOODS,261.41602,0
2861113,2017-05-29,37,GROCERY II,58.0,0
148627,2013-03-25,29,POULTRY,0.0,0
2191225,2016-05-17,40,PERSONAL CARE,292.0,13
810054,2014-04-01,38,BEVERAGES,781.0,0
1180079,2014-10-26,2,SEAFOOD,44.72,0
1660478,2015-07-23,49,HOME APPLIANCES,0.0,0
1735680,2015-09-04,1,GROCERY I,2840.0,6
2427694,2016-09-27,26,HOME AND KITCHEN II,1.0,0
1100323,2014-09-11,32,BOOKS,0.0,0
572036,2013-11-18,1,HARDWARE,0.0,0
2144763,2016-04-21,37,PLAYERS AND ELECTRONICS,10.0,0
842442,2014-04-19,46,HOME CARE,0.0,0
2960657,2017-07-24,3,PREPARED FOODS,286.961,0
2283207,2016-07-08,22,BEVERAGES,808.0,2
53918,2013-01-31,21,PREPARED FOODS,0.0,0
2959396,2017-07-23,44,"LIQUOR,WINE,BEER",462.0,8
1750277,2015-09-12,19,MAGAZINES,1.0,0
970979,2014-06-30,52,LAWN AND GARDEN,0.0,0
353093,2013-07-18,16,PET SUPPLIES,0.0,0
2330427,2016-08-03,47,AUTOMOTIVE,20.0,0
1872855,2015-11-19,9,CELEBRATION,16.0,0
892672,2014-05-17,6,"LIQUOR,WINE,BEER",203.0,0
1788910,2015-10-03,52,GROCERY II,0.0,0
2676311,2017-02-14,51,FROZEN FOODS,207.629,2
2573970,2016-12-18,30,BEVERAGES,2010.0,49
57444,2013-02-02,20,MEATS,0.0,0
2683868,2017-02-19,14,FROZEN FOODS,32.0,3
737342,2014-02-19,47,MAGAZINES,0.0,0
1696141,2015-08-12,5,CLEANING,819.0,3
464043,2013-09-18,29,PRODUCE,0.0,0
851677,2014-04-24,6,GROCERY II,38.0,0
1581181,2015-06-09,24,LADIESWEAR,19.0,0
1987829,2016-01-24,34,DAIRY,494.0,0
180894,2013-04-12,34,LINGERIE,36.0,0
273460,2013-06-03,31,"LIQUOR,WINE,BEER",2.0,0
1929147,2015-12-21,38,AUTOMOTIVE,13.0,0
1328756,2015-01-18,41,FROZEN FOODS,192.335,0
1706770,2015-08-18,48,EGGS,95.0,1
212081,2013-04-30,1,MAGAZINES,0.0,0
966333,2014-06-28,22,PLAYERS AND ELECTRONICS,0.0,0
1874353,2015-11-20,5,LADIESWEAR,5.0,0
276937,2013-06-05,3,BABY CARE,0.0,0
815692,2014-04-04,45,SCHOOL AND OFFICE SUPPLIES,0.0,0
565845,2013-11-14,35,PLAYERS AND ELECTRONICS,0.0,0
1686775,2015-08-07,37,GROCERY II,45.0,0
1167424,2014-10-19,15,HOME AND KITCHEN II,10.0,0
484906,2013-09-30,15,BOOKS,0.0,0
269517,2013-06-01,21,CELEBRATION,0.0,0
2571959,2016-12-17,24,BREAD/BAKERY,869.87,3
1143626,2014-10-05,47,FROZEN FOODS,482.779,2
1098534,2014-09-10,31,PRODUCE,684.384,0
1191410,2014-11-01,38,FROZEN FOODS,233.0,1
480433,2013-09-27,39,LADIESWEAR,0.0,0
1409046,2015-03-04,44,GROCERY I,8721.0,3
1143862,2014-10-05,53,HOME AND KITCHEN II,11.0,0
398656,2013-08-12,44,HOME AND KITCHEN II,0.0,0
727939,2014-02-14,33,PERSONAL CARE,132.0,0
1095505,2014-09-08,47,BOOKS,0.0,0
518663,2013-10-19,12,BEAUTY,2.0,0
1807554,2015-10-14,26,GROCERY I,1125.0,3
2171187,2016-05-06,29,HOME CARE,170.0,3
1457676,2015-04-01,1,AUTOMOTIVE,2.0,0
1443354,2015-03-23,8,AUTOMOTIVE,3.0,0
31592,2013-01-18,45,FROZEN FOODS,252.825,0
94015,2013-02-22,46,SCHOOL AND OFFICE SUPPLIES,0.0,0
2339971,2016-08-09,15,CLEANING,708.0,12
1094651,2014-09-08,23,DAIRY,523.0,0
486989,2013-10-01,23,DAIRY,323.0,0
187758,2013-04-16,27,LINGERIE,4.0,0
1375045,2015-02-13,40,BABY CARE,0.0,0
2981052,2017-08-04,51,PRODUCE,5612.906,15
220957,2013-05-04,9,"LIQUOR,WINE,BEER",97.0,0
813117,2014-04-03,23,PRODUCE,3.0,0
2408645,2016-09-16,41,DAIRY,554.0,0
487648,2013-10-01,41,CLEANING,634.0,0
931775,2014-06-08,52,LAWN AND GARDEN,0.0,0
16467,2013-01-10,21,AUTOMOTIVE,0.0,0
1926255,2015-12-19,7,GROCERY I,4565.0,14
2000581,2016-01-31,41,"LIQUOR,WINE,BEER",0.0,0
2080252,2016-03-16,27,SCHOOL AND OFFICE SUPPLIES,1.0,0
1401234,2015-02-28,25,LINGERIE,25.0,0
2545371,2016-12-02,28,HOME AND KITCHEN I,44.0,3
860299,2014-04-29,47,"LIQUOR,WINE,BEER",94.0,0
649915,2014-01-01,44,GROCERY II,0.0,0
1440394,2015-03-22,24,EGGS,205.0,0
996551,2014-07-15,20,HOME APPLIANCES,0.0,0
1463182,2015-04-04,13,POULTRY,356.3,0
1398075,2015-02-26,36,PRODUCE,0.0,0
1227577,2014-11-21,52,EGGS,0.0,0
1557223,2015-05-26,51,LADIESWEAR,0.0,0
1671705,2015-07-30,14,MEATS,325.998,16
715862,2014-02-07,44,PET SUPPLIES,0.0,0
1222768,2014-11-19,18,LADIESWEAR,3.0,0
104957,2013-02-28,53,HOME APPLIANCES,0.0,0
1163294,2014-10-16,49,FROZEN FOODS,237.84,0
759301,2014-03-04,14,BOOKS,0.0,0
2659429,2017-02-05,28,PERSONAL CARE,538.0,4
713284,2014-02-06,22,"LIQUOR,WINE,BEER",0.0,0
746411,2014-02-24,51,HOME APPLIANCES,0.0,0
1004922,2014-07-19,6,CELEBRATION,25.0,0
2555511,2016-12-08,12,MEATS,187.913,20
907794,2014-05-26,3,PRODUCE,4.0,0
2428968,2016-09-28,12,BEVERAGES,1291.0,11
2568470,2016-12-15,26,HARDWARE,3.0,0
786312,2014-03-19,21,LINGERIE,0.0,0
1386798,2015-02-20,20,CELEBRATION,0.0,0
2372009,2016-08-27,14,BEAUTY,1.0,1
57008,2013-02-01,9,HOME APPLIANCES,0.0,0
331321,2013-07-05,6,BABY CARE,0.0,0
241195,2013-05-16,26,SCHOOL AND OFFICE SUPPLIES,0.0,0
1168012,2014-10-19,31,EGGS,322.0,1
2854710,2017-05-25,8,GROCERY I,3931.0,40
1769381,2015-09-22,54,LAWN AND GARDEN,0.0,0
2823639,2017-05-08,35,PLAYERS AND ELECTRONICS,0.0,0
1914423,2015-12-13,24,PLAYERS AND ELECTRONICS,4.0,0
594024,2013-11-30,26,MEATS,340.039,0
114972,2013-03-06,35,AUTOMOTIVE,4.0,0
2078724,2016-03-15,34,LINGERIE,6.0,0
1058051,2014-08-18,46,BREAD/BAKERY,877.437,1
877445,2014-05-09,29,DAIRY,0.0,0
204770,2013-04-25,54,BREAD/BAKERY,117.0,0
1970436,2016-01-14,46,CELEBRATION,24.0,0
2681618,2017-02-17,50,BREAD/BAKERY,623.491,6
2697806,2017-02-26,54,MAGAZINES,1.0,0
1585487,2015-06-11,45,BEAUTY,8.0,1
90277,2013-02-20,41,"LIQUOR,WINE,BEER",27.0,0
717343,2014-02-08,36,"LIQUOR,WINE,BEER",320.0,0
92922,2013-02-22,16,PLAYERS AND ELECTRONICS,0.0,0
2065778,2016-03-08,21,FROZEN FOODS,47.089,0
2261113,2016-06-25,51,LADIESWEAR,2.0,0
2684744,2017-02-19,38,PREPARED FOODS,125.624,1
1487940,2015-04-17,9,BEVERAGES,841.0,1
1336034,2015-01-22,45,PREPARED FOODS,269.3,0
1379969,2015-02-16,29,DAIRY,0.0,0
550541,2013-11-05,7,BEAUTY,2.0,0
1609382,2015-06-25,16,BREAD/BAKERY,228.0,0
1165299,2014-10-17,6,BEVERAGES,2645.0,2
575664,2013-11-20,11,GROCERY I,4448.0,0
2972939,2017-07-31,25,BEAUTY,3.0,0
2153786,2016-04-26,40,DAIRY,590.0,5
1476849,2015-04-11,47,AUTOMOTIVE,18.0,0
1010850,2014-07-23,21,PLAYERS AND ELECTRONICS,0.0,0
500868,2013-10-09,12,PLAYERS AND ELECTRONICS,0.0,0
2236664,2016-06-12,16,MAGAZINES,1.0,0
2673954,2017-02-13,35,PRODUCE,294.247,3
2234308,2016-06-10,5,EGGS,82.0,19
2720602,2017-03-11,44,HOME AND KITCHEN II,162.0,3
607982,2013-12-08,18,MAGAZINES,0.0,0
618536,2013-12-14,14,HOME APPLIANCES,0.0,0
2486512,2016-10-30,26,POULTRY,171.296,0
93286,2013-02-22,26,POULTRY,115.485,0
1166106,2014-10-18,28,HOME CARE,294.0,0
2103367,2016-03-29,26,GROCERY II,1.0,0
1609656,2015-06-25,23,HOME AND KITCHEN I,1.0,0
2565693,2016-12-13,48,DELI,379.314,13
361215,2013-07-22,43,PRODUCE,0.0,0
1216731,2014-11-15,48,LINGERIE,3.0,0
1683579,2015-08-05,47,HOME CARE,659.0,1
112636,2013-03-05,2,CLEANING,727.0,0
1527751,2015-05-10,25,HOME AND KITCHEN II,10.0,0
184768,2013-04-14,43,BABY CARE,0.0,0
661575,2014-01-08,21,MEATS,0.0,0
523763,2013-10-21,54,LAWN AND GARDEN,0.0,0
2312617,2016-07-24,47,EGGS,431.0,1
641432,2013-12-27,7,FROZEN FOODS,316.673,0
2863848,2017-05-31,14,DELI,267.0,4
1268655,2014-12-14,6,BEVERAGES,5415.0,6
2057610,2016-03-03,41,PLAYERS AND ELECTRONICS,8.0,0
216192,2013-05-02,25,DELI,115.09,0
241877,2013-05-16,45,LAWN AND GARDEN,2.0,0
1148901,2014-10-08,45,CELEBRATION,33.0,1
1825040,2015-10-24,17,DAIRY,659.0,0
2834740,2017-05-14,47,CLEANING,2288.0,39
367358,2013-07-26,17,BEAUTY,0.0,0
2400079,2016-09-11,50,"LIQUOR,WINE,BEER",53.0,4
1786232,2015-10-02,28,DAIRY,485.0,4
2054404,2016-03-01,51,"LIQUOR,WINE,BEER",70.0,1
2735324,2017-03-19,8,LAWN AND GARDEN,29.0,0
2604117,2017-01-05,26,LINGERIE,2.0,0
1133784,2014-09-30,21,BEVERAGES,0.0,0
354298,2013-07-18,5,EGGS,114.0,0
2983661,2017-08-06,25,SEAFOOD,7.0,0
1111748,2014-09-17,52,FROZEN FOODS,0.0,0
1105814,2014-09-14,36,HOME APPLIANCES,0.0,0
1544520,2015-05-19,45,LINGERIE,1.0,0
2779646,2017-04-13,50,MAGAZINES,16.0,0
55836,2013-02-01,26,AUTOMOTIVE,2.0,0
592888,2013-11-29,44,EGGS,498.0,0
2039470,2016-02-22,33,BOOKS,0.0,0
433842,2013-09-01,31,MEATS,407.547,0
2741290,2017-03-23,25,GROCERY II,7.0,0
93838,2013-02-22,41,LADIESWEAR,0.0,0
449991,2013-09-10,35,BEVERAGES,267.0,0
1666279,2015-07-27,12,EGGS,52.0,8
1852370,2015-11-08,33,HARDWARE,0.0,0
1953476,2016-01-05,20,DAIRY,655.0,6
1053665,2014-08-16,23,DAIRY,382.0,0
2652730,2017-02-01,4,PERSONAL CARE,323.0,8
1702002,2015-08-16,14,PLAYERS AND ELECTRONICS,3.0,0
2966433,2017-07-27,41,PRODUCE,1424.628,13
1504171,2015-04-27,13,SCHOOL AND OFFICE SUPPLIES,0.0,0
652358,2014-01-03,13,HARDWARE,0.0,0
117134,2013-03-07,45,HOME APPLIANCES,3.0,0
1273266,2014-12-17,34,PLAYERS AND ELECTRONICS,6.0,0
1333542,2015-01-21,26,GROCERY I,818.0,2
2178312,2016-05-10,29,HOME AND KITCHEN I,39.0,0
267555,2013-05-31,16,MEATS,63.175,0
2360788,2016-08-20,49,BABY CARE,0.0,0
2986956,2017-08-08,18,PLAYERS AND ELECTRONICS,6.0,0
1570381,2015-06-03,21,EGGS,0.0,0
553495,2013-11-07,39,LADIESWEAR,0.0,0
1160995,2014-10-15,34,"LIQUOR,WINE,BEER",58.0,0
2339934,2016-08-09,14,BEVERAGES,1045.0,14
1580285,2015-06-08,49,HARDWARE,2.0,0
936976,2014-06-11,49,CLEANING,1277.0,0
41767,2013-01-24,30,"LIQUOR,WINE,BEER",25.0,0
980523,2014-07-06,20,PLAYERS AND ELECTRONICS,0.0,0
505483,2013-10-11,41,"LIQUOR,WINE,BEER",179.0,0
2424933,2016-09-25,48,PLAYERS AND ELECTRONICS,29.0,0
657898,2014-01-06,19,EGGS,38.0,0
2688598,2017-02-21,46,"LIQUOR,WINE,BEER",81.0,1
347183,2013-07-14,5,MAGAZINES,0.0,0
2670761,2017-02-11,46,BREAD/BAKERY,1205.0,13
413260,2013-08-20,54,BABY CARE,0.0,0
1155845,2014-10-12,4,LAWN AND GARDEN,23.0,0
2012374,2016-02-07,23,BABY CARE,0.0,0
1349164,2015-01-30,14,PERSONAL CARE,256.0,0
2675909,2017-02-14,40,BREAD/BAKERY,384.0,10
1888759,2015-11-28,54,BOOKS,0.0,0
630491,2013-12-20,49,PET SUPPLIES,0.0,0
2021735,2016-02-12,35,MAGAZINES,1.0,0
712678,2014-02-05,6,EGGS,216.0,0
616347,2013-12-12,52,CELEBRATION,0.0,0
809292,2014-04-01,17,AUTOMOTIVE,3.0,0
70438,2013-02-09,35,HOME AND KITCHEN II,0.0,0
1106364,2014-09-14,51,CELEBRATION,11.0,0
17908,2013-01-11,11,"LIQUOR,WINE,BEER",73.0,0
2965644,2017-07-27,20,AUTOMOTIVE,7.0,0
2872620,2017-06-05,10,BEVERAGES,1315.0,18
1801836,2015-10-11,16,BEVERAGES,2021.0,18
1805268,2015-10-13,12,BEVERAGES,1709.0,11
448630,2013-09-09,46,POULTRY,624.092,0
1873987,2015-11-20,4,HOME AND KITCHEN II,20.0,1
2857612,2017-05-27,39,EGGS,322.0,1
1473577,2015-04-09,54,POULTRY,60.005,8
402496,2013-08-14,51,POULTRY,376.644,0
1743295,2015-09-08,23,BOOKS,0.0,0
1102397,2014-09-12,4,SEAFOOD,28.653,3
117656,2013-03-08,10,FROZEN FOODS,1.0,0
2445834,2016-10-07,35,CELEBRATION,6.0,0
1336108,2015-01-22,48,BOOKS,0.0,0
1153622,2014-10-11,28,DAIRY,669.0,0
2706595,2017-03-03,51,BABY CARE,0.0,0
2303145,2016-07-19,31,DELI,226.759,3
1744617,2015-09-09,10,CELEBRATION,6.0,0
1450169,2015-03-27,48,HOME APPLIANCES,0.0,0
1497747,2015-04-23,33,DELI,191.0,53
51467,2013-01-29,52,LAWN AND GARDEN,0.0,0
2600621,2017-01-03,28,MAGAZINES,2.0,0
790178,2014-03-21,3,PET SUPPLIES,12.0,0
76055,2013-02-12,42,MAGAZINES,0.0,0
1948870,2016-01-02,40,"LIQUOR,WINE,BEER",250.0,0
323712,2013-07-01,41,HOME AND KITCHEN I,0.0,0
1923333,2015-12-18,24,PLAYERS AND ELECTRONICS,16.0,0
1257582,2014-12-08,44,HOME CARE,532.0,1
1179758,2014-10-26,11,DAIRY,828.0,0
104125,2013-02-28,30,EGGS,50.0,0
436852,2013-09-03,16,SCHOOL AND OFFICE SUPPLIES,0.0,0
1708470,2015-08-19,45,PLAYERS AND ELECTRONICS,47.0,0
209592,2013-04-28,4,DELI,286.296,0
1229278,2014-11-22,5,POULTRY,291.282,1
1482929,2015-04-15,18,DAIRY,411.0,0
2118827,2016-04-07,1,PREPARED FOODS,63.0,0
1501738,2015-04-25,45,CLEANING,3136.0,4
250954,2013-05-21,5,"LIQUOR,WINE,BEER",39.0,0
225769,2013-05-07,43,HOME AND KITCHEN II,0.0,0
316881,2013-06-27,5,HOME AND KITCHEN I,0.0,0
2662313,2017-02-07,1,BREAD/BAKERY,442.26,8
1066564,2014-08-23,35,BOOKS,0.0,0
2941053,2017-07-13,3,PLAYERS AND ELECTRONICS,14.0,0
2843043,2017-05-19,3,PLAYERS AND ELECTRONICS,21.0,0
1404155,2015-03-01,8,BREAD/BAKERY,1163.251,0
677192,2014-01-17,1,SEAFOOD,44.5476,0
2645382,2017-01-28,34,BEVERAGES,2968.0,30
598062,2013-12-02,4,BEVERAGES,844.0,0
1913770,2015-12-12,7,BABY CARE,0.0,0
55042,2013-01-31,52,SCHOOL AND OFFICE SUPPLIES,0.0,0
2317893,2016-07-27,45,CELEBRATION,45.0,0
2478926,2016-10-26,13,SEAFOOD,0.0,0
1045072,2014-08-11,31,POULTRY,121.865,0
667245,2014-01-11,30,HOME CARE,153.0,0
1125222,2014-09-25,30,LINGERIE,3.0,0
2597628,2017-01-01,44,AUTOMOTIVE,0.0,0
972326,2014-07-01,40,HARDWARE,2.0,0
334356,2013-07-07,40,AUTOMOTIVE,4.0,0
1208531,2014-11-11,19,BREAD/BAKERY,192.0,0
328316,2013-07-04,20,SEAFOOD,0.0,0
1463126,2015-04-04,12,BREAD/BAKERY,0.0,0
1772223,2015-09-24,34,MEATS,191.598,20
207627,2013-04-27,34,MEATS,155.123,0
2903956,2017-06-22,39,"LIQUOR,WINE,BEER",124.0,2
2672345,2017-02-12,40,BREAD/BAKERY,408.0,50
1997251,2016-01-29,48,PERSONAL CARE,500.0,0
2583057,2016-12-23,35,HOME AND KITCHEN I,0.0,0
1974240,2016-01-16,52,HOME AND KITCHEN I,0.0,0
1524321,2015-05-08,29,HOME CARE,123.0,0
2539756,2016-11-29,20,EGGS,45.0,0
1340517,2015-01-25,21,MEATS,0.0,0
1143396,2014-10-05,40,GROCERY I,4158.0,2
1541151,2015-05-17,50,HOME CARE,637.0,2
2926721,2017-07-05,28,HOME APPLIANCES,0.0,0
1382989,2015-02-18,13,PERSONAL CARE,174.0,0
1427880,2015-03-15,23,BEVERAGES,734.0,0
1725444,2015-08-29,22,CELEBRATION,0.0,0
1079330,2014-08-30,42,SEAFOOD,0.0,0
2527638,2016-11-22,30,BEVERAGES,1370.0,40
1148700,2014-10-08,4,BEVERAGES,2449.0,1
2528256,2016-11-22,47,PLAYERS AND ELECTRONICS,27.0,0
1108778,2014-09-16,2,FROZEN FOODS,86.0,0
2224803,2016-06-05,33,DELI,317.0,4
812783,2014-04-03,14,PET SUPPLIES,0.0,0
562027,2013-11-12,29,BOOKS,0.0,0
859793,2014-04-29,33,FROZEN FOODS,18.0,0
1759665,2015-09-17,32,CELEBRATION,2.0,0
726574,2014-02-13,45,GROCERY II,68.0,0
2382240,2016-09-01,50,BEVERAGES,3225.0,20
1423819,2015-03-13,1,BABY CARE,0.0,0
386118,2013-08-05,42,HOME CARE,0.0,0
1691623,2015-08-10,23,EGGS,52.0,0
2953547,2017-07-20,30,HARDWARE,1.0,0
1962109,2016-01-10,12,POULTRY,236.703,0
677764,2014-01-17,26,EGGS,35.0,0
1971935,2016-01-15,38,LAWN AND GARDEN,0.0,0
901225,2014-05-22,45,POULTRY,814.85297,0
2690096,2017-02-22,39,BEAUTY,3.0,1
